$CONTROL_PAR_WT_VIS_2D	true	Built-in Variable: $CONTROL_PAR_WT_VIS_2D	N/A
$CONTROL_PAR_WT_VIS_3D	true	Built-in Variable: $CONTROL_PAR_WT_VIS_3D	N/A
$CONTROL_PAR_WT_VIS_MODE	true	Built-in Variable: $CONTROL_PAR_WT_VIS_MODE	N/A
$CONTROL_PAR_WT_ZONE	true	Built-in Variable: $CONTROL_PAR_WT_ZONE	N/A
$CONTROL_PAR_ZERO_LINE_COLOR	true	Built-in Variable: $CONTROL_PAR_ZERO_LINE_COLOR	N/A
$CONTROL_PAR_Z_LAYER	true	Built-in Variable: $CONTROL_PAR_Z_LAYER	N/A
$CURRENT_EVENT	true	Built-in Variable: $CURRENT_EVENT	N/A
$CURRENT_SCRIPT_SLOT	true	Built-in Variable: $CURRENT_SCRIPT_SLOT	N/A
$DISTANCE_BAR_START	true	Built-in Variable: $DISTANCE_BAR_START	N/A
$DURATION_BAR	true	Built-in Variable: $DURATION_BAR	N/A
$DURATION_EIGHTH	true	Built-in Variable: $DURATION_EIGHTH	N/A
$DURATION_EIGHTH_TRIPLET	true	Built-in Variable: $DURATION_EIGHTH_TRIPLET	N/A
$DURATION_QUARTER	true	Built-in Variable: $DURATION_QUARTER	N/A
$DURATION_QUARTER_TRIPLET	true	Built-in Variable: $DURATION_QUARTER_TRIPLET	N/A
$DURATION_SIXTEENTH	true	Built-in Variable: $DURATION_SIXTEENTH	N/A
$DURATION_SIXTEENTH_TRIPLET	true	Built-in Variable: $DURATION_SIXTEENTH_TRIPLET	N/A
$EFFECT_TYPE_ACBOX	true	Built-in Variable: $EFFECT_TYPE_ACBOX	N/A
$EFFECT_TYPE_AET_FILTER	true	Built-in Variable: $EFFECT_TYPE_AET_FILTER	N/A
$EFFECT_TYPE_BASSINVADER	true	Built-in Variable: $EFFECT_TYPE_BASSINVADER	N/A
$EFFECT_TYPE_BASSPRO	true	Built-in Variable: $EFFECT_TYPE_BASSPRO	N/A
$EFFECT_TYPE_BUS_COMP	true	Built-in Variable: $EFFECT_TYPE_BUS_COMP	N/A
$EFFECT_TYPE_CABINET	true	Built-in Variable: $EFFECT_TYPE_CABINET	N/A
$EFFECT_TYPE_CAT	true	Built-in Variable: $EFFECT_TYPE_CAT	N/A
$EFFECT_TYPE_CHORAL	true	Built-in Variable: $EFFECT_TYPE_CHORAL	N/A
$EFFECT_TYPE_CHORUS	true	Built-in Variable: $EFFECT_TYPE_CHORUS	N/A
$EFFECT_TYPE_COMPRESSOR	true	Built-in Variable: $EFFECT_TYPE_COMPRESSOR	N/A
$EFFECT_TYPE_CRYWAH	true	Built-in Variable: $EFFECT_TYPE_CRYWAH	N/A
$EFFECT_TYPE_DELAY	true	Built-in Variable: $EFFECT_TYPE_DELAY	N/A
$EFFECT_TYPE_DISTORTION	true	Built-in Variable: $EFFECT_TYPE_DISTORTION	N/A
$EFFECT_TYPE_DSTORTION	true	Built-in Variable: $EFFECT_TYPE_DSTORTION	N/A
$EFFECT_TYPE_FB_COMP	true	Built-in Variable: $EFFECT_TYPE_FB_COMP	N/A
$EFFECT_TYPE_FILTER	true	Built-in Variable: $EFFECT_TYPE_FILTER	N/A
$EFFECT_TYPE_FLAIR	true	Built-in Variable: $EFFECT_TYPE_FLAIR	N/A
$EFFECT_TYPE_FLANGER	true	Built-in Variable: $EFFECT_TYPE_FLANGER	N/A
$EFFECT_TYPE_GAINER	true	Built-in Variable: $EFFECT_TYPE_GAINER	N/A
$EFFECT_TYPE_HOTSOLO	true	Built-in Variable: $EFFECT_TYPE_HOTSOLO	N/A
$EFFECT_TYPE_INVERTER	true	Built-in Variable: $EFFECT_TYPE_INVERTER	N/A
$EFFECT_TYPE_IRC	true	Built-in Variable: $EFFECT_TYPE_IRC	N/A
$EFFECT_TYPE_JUMP	true	Built-in Variable: $EFFECT_TYPE_JUMP	N/A
$EFFECT_TYPE_LIMITER	true	Built-in Variable: $EFFECT_TYPE_LIMITER	N/A
$EFFECT_TYPE_LOFI	true	Built-in Variable: $EFFECT_TYPE_LOFI	N/A
$EFFECT_TYPE_NONE	true	Built-in Variable: $EFFECT_TYPE_NONE	N/A
$EFFECT_TYPE_PHASER	true	Built-in Variable: $EFFECT_TYPE_PHASER	N/A
$EFFECT_TYPE_PHASIS	true	Built-in Variable: $EFFECT_TYPE_PHASIS	N/A
$EFFECT_TYPE_PLATEREVERB	true	Built-in Variable: $EFFECT_TYPE_PLATEREVERB	N/A
$EFFECT_TYPE_PSYCHEDELAY	true	Built-in Variable: $EFFECT_TYPE_PSYCHEDELAY	N/A
$EFFECT_TYPE_REPLIKA	true	Built-in Variable: $EFFECT_TYPE_REPLIKA	N/A
$EFFECT_TYPE_REVERB	true	Built-in Variable: $EFFECT_TYPE_REVERB	N/A
$EFFECT_TYPE_REVERB2	true	Built-in Variable: $EFFECT_TYPE_REVERB2	N/A
$EFFECT_TYPE_RINGMOD	true	Built-in Variable: $EFFECT_TYPE_RINGMOD	N/A
$EFFECT_TYPE_ROTATOR	true	Built-in Variable: $EFFECT_TYPE_ROTATOR	N/A
$EFFECT_TYPE_SEND_LEVELS	true	Built-in Variable: $EFFECT_TYPE_SEND_LEVELS	N/A
$EFFECT_TYPE_SHAPER	true	Built-in Variable: $EFFECT_TYPE_SHAPER	N/A
$EFFECT_TYPE_SKREAMER	true	Built-in Variable: $EFFECT_TYPE_SKREAMER	N/A
$EFFECT_TYPE_SOLID_GEQ	true	Built-in Variable: $EFFECT_TYPE_SOLID_GEQ	N/A
$EFFECT_TYPE_STEREO	true	Built-in Variable: $EFFECT_TYPE_STEREO	N/A
$EFFECT_TYPE_SUPERGT	true	Built-in Variable: $EFFECT_TYPE_SUPERGT	N/A
$EFFECT_TYPE_SURROUND_PANNER	true	Built-in Variable: $EFFECT_TYPE_SURROUND_PANNER	N/A
$EFFECT_TYPE_TAPE_SAT	true	Built-in Variable: $EFFECT_TYPE_TAPE_SAT	N/A
$EFFECT_TYPE_TRANSLIM	true	Built-in Variable: $EFFECT_TYPE_TRANSLIM	N/A
$EFFECT_TYPE_TRANS_MASTER	true	Built-in Variable: $EFFECT_TYPE_TRANS_MASTER	N/A
$EFFECT_TYPE_TWANG	true	Built-in Variable: $EFFECT_TYPE_TWANG	N/A
$EFFECT_TYPE_VAN51	true	Built-in Variable: $EFFECT_TYPE_VAN51	N/A
$ENGINE_$PAR_INTMOD_RETRIGGER	true	Built-in Variable: $ENGINE_$PAR_INTMOD_RETRIGGER	N/A
$ENGINE_PAR_AC_BASS	true	Built-in Variable: $ENGINE_PAR_AC_BASS	N/A
$ENGINE_PAR_AC_BRILLIANTVOLUME	true	Built-in Variable: $ENGINE_PAR_AC_BRILLIANTVOLUME	N/A
$ENGINE_PAR_AC_MONO	true	Built-in Variable: $ENGINE_PAR_AC_MONO	N/A
